App,Route File,Route Prefix,HTTP Methods,Purpose,Authentication,Status,Notes
Master Portal,auth.ts,/api/auth,POST,Login,signup,session management,JWT + Sessions,Pending,CSRF enabled
Master Portal,collections.ts,/api/collections,GET|POST|PUT|DELETE,Generic CRUD for all tables,Session,Pending,
Master Portal,cloud.ts,/api/cloud,GET|POST,Cloud sync status and control,Session,Pending,
Master Portal,orders.ts,/api/orders,GET|POST|PUT|DELETE,Order fulfillment and management,Session,Pending,
Master Portal,faces.ts,/api/faces,GET|POST,Face recognition search and reindex,Session,Pending,
Master Portal,culling.ts,/api/culling,GET|POST,Photo culling and analysis,Session,Pending,
Master Portal,pairing.ts,/api/pairing,GET|POST,QR-based kiosk pairing,HMAC-SHA256,Pending,32-byte signing secret
Master Portal,sync.ts,/api/sync,GET|POST,Offline mutation sync,Session,Pending,
Master Portal,files.ts,/api/files,GET|POST|DELETE,File upload and management,Session,Pending,
Master Portal,system.ts,/api/system,GET,Health,IP,printers,diagnostics,Session,Pending,
Master Portal,realtime.ts,/api/realtime,GET,SSE real-time events,Session,Pending,
Master Portal,dashboard.ts,/api/dashboard,GET,Dashboard data,Session,Pending,
Master Portal,analytics.ts,/api/analytics,GET,Analytics data,Session,Pending,
Master Portal,export.ts,/api/export,GET|POST,Data export,Session,Pending,
Master Portal,gallery.ts,/api/gallery,GET|POST,Customer gallery management,Session,Pending,
Master Portal,galleryAuth.ts,/api/galleryAuth,POST,Gallery authentication,Token-based,Pending,
Master Portal,galleryCheckout.ts,/api/galleryCheckout,POST,Stripe payment integration,Session,Pending,
Master Portal,notification.ts,/api/notification,GET|POST,Notification management,Session,Pending,
Master Portal,ledger.ts,/api/ledger,GET|POST,Financial ledger,Session,Pending,
Master Portal,health.ts,/api/health,GET,Health check endpoint,None,Pending,
Master Portal,assistance.ts,/api/assistance,GET|POST,Assistance requests,Session,Pending,
Master Portal,sessionTypes.ts,/api/sessionTypes,GET|POST,Session type management,Session,Pending,
Master Portal,resortAnalytics.ts,/api/resortAnalytics,GET,Resort-specific analytics,Session,Pending,
Master Portal,marketing.ts,/api/marketing,GET|POST,Marketing campaigns,Session,Pending,
Touch Kiosk,auth.ts,/api/auth,POST,Local authentication,HMAC-SHA256,Pending,LAN-only
Touch Kiosk,collections.ts,/api/collections,GET|POST|PUT|DELETE,Local data CRUD,HMAC-SHA256,Pending,
Touch Kiosk,orders.ts,/api/orders,GET|POST,Order creation,HMAC-SHA256,Pending,
Touch Kiosk,orderExport.ts,/api/orders/:id/export-to-master,POST,HMAC-signed export to Master,HMAC-SHA256,Pending,
Touch Kiosk,sync.ts,/api/sync,GET|POST,Sync with Master,HMAC-SHA256,Pending,5-minute replay prevention
Touch Kiosk,files.ts,/api/files,GET|POST|DELETE,File management,HMAC-SHA256,Pending,
Touch Kiosk,system.ts,/api/system,GET,System health,HMAC-SHA256,Pending,
Touch Kiosk,realtime.ts,/api/realtime,GET,SSE events,HMAC-SHA256,Pending,
Touch Kiosk,faces.ts,/api/faces,GET|POST,Face search,HMAC-SHA256,Pending,
