Category,Artifact Type,Path,Version,Access Method,Inspection Focus,Status,Notes
Source Code - Master,Frontend,apps/master/src/,v4.2.0,Git repository,React components,hooks,services,types,Pending,
Source Code - Master,Backend,apps/master/backend/,v4.2.0,Git repository,Express routes (21),middleware,controllers,Pending,
Source Code - Touch,Frontend,apps/touch/src/,v4.2.0,Git repository,React components,hooks,services,Pending,
Source Code - Touch,Backend,apps/touch/backend/,v4.2.0,Git repository,Express routes (8),pairing logic,Pending,
Source Code - MoneyTrash,Frontend,apps/moneytrash/src/,v4.2.0,Git repository,Next.js pages,Tauri config,Pending,
Source Code - Management,Frontend,apps/management/src/,v4.2.0,Git repository,React components,Pending,
Source Code - Gallery,Frontend,apps/gallery/src/,v4.2.0,Git repository,React components,Stripe integration,Pending,
Source Code - Website,Frontend,apps/website/src/,v4.2.0,Git repository,Next.js pages,Pending,
Shared Packages,Library,packages/backup-service/,v1.0.0,Git repository,Backup automation,Pending,
CI/CD Pipelines,Workflows,.github/workflows/,v4.2.0,Git repository,CI/CD configuration,Pending,
Docker Configuration,Docker Compose,docker-compose.yml,v4.2.0,Git repository,Service definitions,Pending,
Environment Configuration,Env Examples,apps/*/.env.example,v4.2.0,Git repository,Default configs,Pending,
Database Schema,SQLite Schema,apps/master/backend/shared/,v4.2.0,Git repository,Schema definitions,Pending,
Documentation,Architecture,docs/ARCHITECTURE.md,v4.2.0,Git repository,System design,Pending,
Documentation,API Reference,docs/API.md,v4.2.0,Git repository,API endpoints,Pending,
Documentation,AGENTS,AGENTS.md,v4.2.0,Git repository,Development standards,Pending,
