product,category,platform,android,wired_camera,raw_workflow,ai_edit_cull,instant_guest_delivery,offline_event_resilience,business_operations,spot_planning,ecosystem_orchestration,total,source_url,evidence_note
ClickFlash current,Unified field workflow,Android,2,2,2,1,0,2,1,1,2,13,local://apps/mobile-photographer,"Repository evidence; Scout V1 is local and delivery workers remain incomplete"
qDslrDashboard,Camera control,Cross-platform,2,2,2,0,0,1,0,0,1,8,https://dslrdashboard.info/introduction/,"PTP USB/network control; Live View and RAW/JPEG transfer documented"
Helicon Remote,Camera control,Android,2,2,1,0,0,1,0,0,0,6,https://play.google.com/store/apps/details?id=com.HeliconSoft.HeliconRemote2,"USB OTG; D7000 listed; bracketing and time lapse"
Camera Connect & Control,Camera control,Android,2,2,2,0,0,1,0,0,0,7,https://play.google.com/store/apps/details?id=com.rupiapps.cameraconnectcast,"Wired/wireless remote and RAW transfer documented"
Cascable,Camera control and ingest,iOS/macOS,0,2,2,0,0,2,0,0,1,7,https://cascable.app/studio/features/,"Tether/review; RAW+JPEG; Storage Links; automation recipes"
Capture One Mobile,Tether and edit,iOS/iPadOS,0,2,2,1,0,1,0,0,2,8,https://www.captureone.com/en/products/capture-one-mobile,"Professional tether and editor workflow; no Android evidence in reviewed source"
Adobe Lightroom Mobile,Photo editor,Android/iOS,2,0,2,2,1,1,0,0,2,10,https://helpx.adobe.com/lightroom/mobile/get-started/adobe-lightroom-on-mobile-faq.html,"RAW; masks; batch/cloud; AI Quick Actions"
Aftershoot,AI cull and edit,Desktop,0,0,2,2,1,2,0,0,2,9,https://aftershoot.com/,"AI culling; learned preferences; edit and retouch workflow"
Snappic,Event photography,iOS-oriented,0,2,0,2,2,2,1,0,2,11,https://www.snappic.com/photography,"Capture/process; AI enhance; QR/face delivery; branded galleries"
Booth.Events,Event booth,iOS,0,2,0,1,2,2,1,0,2,10,https://booth.events/,"DSLR USB; print/text/email; offline background removal; guest data"
SpotMyPhotos,Event delivery,iOS/cloud,0,2,0,2,2,1,0,0,2,9,https://help.spotmyphotos.com/en/articles/15831041-what-is-spotmyphotos,"Roaming tether; private face-matched galleries; multiple ingest paths"
Pixieset Studio Manager,Studio operations,Android/iOS,2,0,0,0,0,0,2,0,2,6,https://website-help.pixieset.com/en/articles/9876177-downloading-pixieset-s-studio-manager-app,"Bookings; client inbox; invoices; contracts; quotes"
Pic-Time,Gallery and commerce,Android/iOS,2,0,0,1,1,0,1,0,2,7,https://www.pic-time.com/features/mobile-app,"Gallery upload; AI search; QR; security; print sales and automations"
PhotoPills,Spot planning,Android/iOS,2,0,0,0,0,2,0,2,0,6,https://www.photopills.com/user-guide,"Sun/moon/light planning and AR"
ClickFlash target,Unified field operating system,Android,2,2,2,2,2,2,2,2,2,18,local://docs/roadmaps/android-mobile-photographer-competitive-roadmap.md,"Strategic target; not a current-state claim"
